t,v
25-03-2022 08:33,257.0923
29-03-2022 18:17,262.2485
30-03-2022 15:26,267.4048
01-04-2022 06:34,265.407
03-04-2022 02:46,231.686
02-04-2022 17:56,224.4186
02-04-2022 03:47,241.2791
03-04-2022 08:05,227.3256
04-04-2022 01:46,237.2093
04-04-2022 10:36,231.9767
05-04-2022 00:45,235.1744
05-04-2022 23:44,230.5233
07-04-2022 00:30,237.7907
07-04-2022 09:20,233.7209
08-04-2022 03:01,237.5
08-04-2022 08:20,231.3954
08-04-2022 15:24,232.8488
09-04-2022 00:15,240.407
09-04-2022 07:19,232.2674
09-04-2022 16:10,227.907
10-04-2022 01:00,232.8488
10-04-2022 08:05,227.6163
10-04-2022 16:55,234.8837
11-04-2022 08:50,223.8372
11-04-2022 15:54,231.3954
12-04-2022 02:31,233.1395
12-04-2022 16:40,250.8721
13-04-2022 06:49,240.1163
13-04-2022 22:44,306.6861
14-04-2022 05:48,239.5349
14-04-2022 16:25,284.3023
16-04-2022 00:15,219.4767
16-04-2022 16:10,229.9419
16-04-2022 23:14,224.1279
17-04-2022 06:18,228.1977
17-04-2022 16:55,226.1628
17-04-2022 20:27,227.0349
18-04-2022 07:04,225.8721
18-04-2022 15:54,229.0698
19-04-2022 00:45,229.3605
19-04-2022 14:54,312.7907
19-04-2022 21:58,303.4884
20-04-2022 08:35,311.6279
20-04-2022 17:25,313.3721
21-04-2022 21:43,299.4186
22-04-2022 10:06,302.3256
22-04-2022 22:29,307.5581
23-04-2022 16:10,286.9186
23-04-2022 21:28,287.7907
24-04-2022 16:55,333.7209
25-04-2022 07:04,259.8837
25-04-2022 14:08,301.7442
26-04-2022 07:49,264.8256
26-04-2022 16:40,308.7209
26-04-2022 23:44,270.9302
27-04-2022 05:03,280.814
28-04-2022 07:34,229.3605
28-04-2022 14:39,234.8837
28-04-2022 21:43,223.8372
29-04-2022 06:34,229.0698
29-04-2022 15:24,224.1279
30-04-2022 07:19,237.7907
30-04-2022 14:23,219.4767
01-05-2022 01:00,223.2558
01-05-2022 13:23,219.7674
02-05-2022 07:04,306.1047
03-05-2022 14:54,301.4535
04-05-2022 20:58,249.4186
05-05-2022 14:39,297.3837
05-05-2022 21:43,263.9535
06-05-2022 13:38,296.2209
06-05-2022 20:42,265.407
08-05-2022 13:23,303.7791
08-05-2022 02:46,299.4186
09-05-2022 05:18,295.3489
09-05-2022 12:22,298.8372
10-05-2022 06:03,288.0814
11-05-2022 01:30,284.8837
11-05-2022 12:07,287.7907
12-05-2022 04:02,256.3954
12-05-2022 11:06,275.8721
13-05-2022 03:01,283.1395
13-05-2022 22:29,274.1279
14-05-2022 21:28,290.1163
15-05-2022 15:09,277.0349
16-05-2022 12:22,245.0581
17-05-2022 04:17,238.3721
17-05-2022 20:12,241.8604
18-05-2022 03:17,238.9535
18-05-2022 08:35,244.7674
18-05-2022 19:12,246.5116
19-05-2022 04:02,240.6977
19-05-2022 19:57,247.9651
20-05-2022 10:06,250.2907
21-05-2022 03:47,250
21-05-2022 10:51,244.4767
21-05-2022 19:42,244.4767
22-05-2022 09:51,272.3837
22-05-2022 20:27,276.7442
23-05-2022 17:41,262.2093
24-05-2022 14:54,261.6279
25-05-2022 19:12,257.2674
26-05-2022 10:53,249.8138
26-05-2022 18:37,250.5405
27-05-2022 10:06,248.1786
27-05-2022 18:56,268.7091
28-05-2022 03:47,275.0681
28-05-2022 18:09,256.5362
29-05-2022 04:06,263.0769
29-05-2022 18:28,265.0754
30-05-2022 08:50,251.994
30-05-2022 18:47,258.7164
01-06-2022 02:50,245.0899
01-06-2022 20:31,245.0899
02-06-2022 02:03,248.7236
02-06-2022 09:20,242.1512
03-06-2022 03:01,245.3488
03-06-2022 08:20,237.7907
03-06-2022 17:10,235.4651
