t,v
7-2-21   20:20,56.12745
7-2-21   20:20,50.73529
8-2-21   0:0,47.79411
8-2-21   1:49,44.85294
8-2-21   1:49,41.66664
8-2-21   1:49,39.21566
8-2-21   12:46,46.32353
8-2-21   14:36,49.7549
8-2-21   16:26,54.65686
8-2-21   16:26,57.84313
8-2-21   16:26,62.2549
9-2-21   1:33,51.71568
9-2-21   8:52,47.54902
9-2-21   16:10,43.38235
10-2-21   4:57,42.15686
10-2-21   8:36,37.99017
10-2-21   19:33,39.46078
10-2-21   23:13,43.87255
10-2-21   23:13,48.77451
11-2-21   8:20,46.56862
11-2-21   19:18,47.30392
12-2-21   4:26,44.60784
12-2-21   11:44,50.49019
12-2-21   11:44,55.14705
12-2-21   11:44,60.29411
12-2-21   11:44,63.72549
12-2-21   15:23,68.87254
12-2-21   17:13,73.7745
12-2-21   22:41,65.68627
13-02-2021 04:10,62.0098
13-02-2021 07:49,58.82353
13-02-2021 15:07,63.97058
14-02-2021 03:54,66.91176
14-02-2021 03:54,72.30392
14-02-2021 11:13,75.98039
14-02-2021 20:20,73.52941
14-02-2021 23:59,79.65686
14-02-2021 23:59,83.57842
15-02-2021 09:07,89.21568
15-02-2021 10:57,94.85294
15-02-2021 12:46,100
15-02-2021 14:36,103.1863
15-02-2021 18:15,108.0882
16-02-2021 05:13,103.9216
16-02-2021 07:02,101.7157
16-02-2021 17:59,99.7549
16-02-2021 21:39,99.50979
16-02-2021 23:28,96.81372
16-02-2021 23:28,93.62745
16-02-2021 23:28,89.46078
17-02-2021 01:18,85.04902
17-02-2021 04:57,82.35293
17-02-2021 08:36,87.74509
17-02-2021 19:33,85.29411
17-02-2021 23:13,82.35293
17-02-2021 23:13,78.92156
18-02-2021 01:02,74.2647
18-02-2021 02:52,69.36274
18-02-2021 06:31,65.93137
18-02-2021 08:20,61.02941
18-02-2021 11:59,56.37254
18-02-2021 22:57,51.22549
19-02-2021 02:36,47.79411
19-02-2021 08:05,45.34313
19-02-2021 06:15,42.64706
19-02-2021 19:02,41.66664
20-02-2021 02:20,37.5
20-02-2021 07:49,43.87255
20-02-2021 07:49,48.03921
20-02-2021 09:39,52.20588
20-02-2021 09:39,56.12745
20-02-2021 15:07,60.29411
20-02-2021 18:46,66.91176
20-02-2021 22:26,62.99019
21-02-2021 00:15,58.08823
21-02-2021 00:15,54.41176
21-02-2021 02:05,51.96078
21-02-2021 02:05,49.5098
21-02-2021 13:02,48.28431
21-02-2021 18:31,52.20588
22-02-2021 00:00,50.24509
22-02-2021 05:28,47.30392
22-02-2021 09:07,43.87255
22-02-2021 14:36,40.44115
22-02-2021 14:36,37.99017
22-02-2021 16:26,34.3137
22-02-2021 16:26,29.65686
23-02-2021 05:13,27.69607
23-02-2021 07:02,32.10784
23-02-2021 08:52,34.55882
23-02-2021 08:52,37.7451
23-02-2021 16:10,40.44115
23-02-2021 17:59,42.40196
24-02-2021 01:18,37.7451
24-02-2021 01:18,33.57843
24-02-2021 10:26,35.53919
24-02-2021 12:15,38.72549
24-02-2021 21:23,41.42157
25-02-2021 01:02,44.36274
25-02-2021 01:02,46.81372
25-02-2021 08:20,50
25-02-2021 08:20,54.65686
25-02-2021 08:20,58.57843
25-02-2021 10:10,62.74509
25-02-2021 11:59,66.42156
25-02-2021 11:59,68.87254
25-02-2021 11:59,72.54901
25-02-2021 17:28,74.5098
25-02-2021 15:39,79.90195
25-02-2021 22:57,71.56862
26-02-2021 04:26,67.15686
26-02-2021 08:05,69.36274
26-02-2021 08:05,73.52941
26-02-2021 08:05,75.73529
26-02-2021 08:05,77.94117
26-02-2021 08:05,82.10784
26-02-2021 15:23,82.10784
26-02-2021 22:41,79.90195
27-02-2021 02:20,76.71568
27-02-2021 07:49,82.35293
27-02-2021 07:49,85.53921
27-02-2021 07:49,89.21568
27-02-2021 07:49,92.64705
27-02-2021 04:10,93.87254
27-02-2021 09:39,95.83332
27-02-2021 09:39,97.30392
27-02-2021 16:57,100.2451
27-02-2021 18:46,101.9608
27-02-2021 22:26,93.13725
28-02-2021 00:15,88.72549
28-02-2021 00:15,82.35293
28-02-2021 03:54,78.18627
28-02-2021 07:33,75.24509
28-02-2021 07:33,68.38235
28-02-2021 20:20,65.93137
1-3-21   1:49,62.99019
1-3-21   14:36,70.09803
1-3-21   14:36,65.44117
2-3-21   3:23,69.11764
2-3-21   12:31,67.15686
2-3-21   19:49,69.85294
2-3-21   19:49,73.28431
3-3-21   1:18,75.98039
3-3-21   1:18,79.41176
3-3-21   3:7,82.59803
3-3-21   3:7,84.80391
3-3-21   19:33,80.63725
4-3-21   4:41,80.39215
4-3-21   6:31,77.69607
4-3-21   8:20,74.7549
4-3-21   10:10,71.81372
4-3-21   15:39,67.89215
4-3-21   15:39,64.21568
4-3-21   22:57,60.04902
4-3-21   22:57,54.90196
5-3-21   11:44,52.45098
5-3-21   19:2,48.77451
5-3-21   20:52,45.83333
6-3-21   2:20,42.40196
6-3-21   18:46,44.36274
7-3-21   5:44,41.42157
7-3-21   7:33,46.32353
7-3-21   5:44,49.0196
7-3-21   5:44,52.69607
7-3-21   5:44,55.88235
7-3-21   7:33,59.55882
7-3-21   11:13,66.17647
7-3-21   11:13,71.07843
7-3-21   13:2,74.99999
7-3-21   14:52,79.16666
7-3-21   22:10,82.59803
7-3-21   20:20,76.96078
7-3-21   22:10,73.03921
7-3-21   22:10,68.38235
8-3-21   3:39,64.21568
8-3-21   5:28,61.7647
8-3-21   9:7,70.58823
8-3-21   7:18,74.99999
8-3-21   12:46,78.92156
8-3-21   14:36,82.84313
9-3-21   1:33,76.47058
9-3-21   5:13,72.79411
9-3-21   10:41,75.73529
9-3-21   16:10,70.83333
9-3-21   18:0,66.66666
10-3-21   10:26,70.58823
10-3-21   17:44,76.71568
